Player,: SPI ProX2＝  8,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080439,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,10:16:18.600,,,,,,,,,,,,,,,,,,,,,
End,10:17:28.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
16:18.6,00:00:00.000,0,1,0.137,1,0,296.907,0.037,34.69117033,135.5171912, T 10,,0,0,0,0,0,0,0,0,0,
16:18.7,00:00:00.070,0,1,0,1,0,296.907,0.037,34.69117,135.5171895, T 10,0,0,0,0,0,0,0,0,0,0,
16:18.7,00:00:00.130,0,1,0,1,0,296.907,0.037,34.69117,135.5171895, T 10,0,0,0,0,0,0,0,0,0,0,
16:18.8,00:00:00.200,0,1,0,1,0,296.755,0,34.69117,135.5171895, T 10,0,0,0,0,0,0,0,0,0,0,
16:18.9,00:00:00.270,0,1,0,2,0,296.755,0,34.69117083,135.5171875, T 10,0,0,0,0,0,0,0,0,0,0,
16:18.9,00:00:00.330,0,1,0,2,0,296.755,0,34.69117083,135.5171875, T 10,0,0,0,0,0,0,0,0,0,0,
16:19.0,00:00:00.400,0,1,0,2,0,296.572,0.092,34.69117083,135.5171875, T 10,0,0,0,0,0,0,0,0,0,0,
16:19.1,00:00:00.470,0,1,0.776,3,0.046,296.476,0.111,34.69117133,135.5171843, T 10,4.332,0,0,0,0,0,0,0,4.332,0.866,
16:19.1,00:00:00.530,0,1,0.957,3,0.103,296.379,0.129,34.69117133,135.5171843, T 10,4.332,0,0,0,0,0,0,0,4.332,0.866,
16:19.2,00:00:00.600,0,1,1.138,3,0.173,296.283,0.148,34.69117133,135.5171843, T 10,4.332,0,0,0,0,0,0,0,4.332,0.866,
16:19.3,00:00:00.670,0,1,1.155,3,0.25,296.212,0.148,34.69117133,135.517182, T 10,1.489,0,0,0,0,0,0,0,1.489,1.164,
16:19.3,00:00:00.730,0,1,1.173,3,0.327,296.141,0.148,34.69117133,135.517182, T 10,1.489,0,0,0,0,0,0,0,1.489,1.164,
16:19.4,00:00:00.800,0,1,1.19,3,0.406,296.069,0.148,34.69117133,135.517182, T 10,1.489,0,0,0,0,0,0,0,1.489,1.164,
16:19.5,00:00:00.870,0,1,1.045,2,0.481,296.049,0.154,34.6911715,135.5171813, T 10,-0.959,0,0,0,0,0,0,0,-0.959,0.972,
16:19.5,00:00:00.930,0,1,0.9,2,0.545,296.029,0.16,34.6911715,135.5171813, T 10,-0.959,0,0,0,0,0,0,0,-0.959,0.972,
16:19.6,00:00:01.000,0,1,0.754,2,0.601,296.009,0.166,34.6911715,135.5171813, T 10,-0.959,0,0,0,0,0,0,0,-0.959,0.972,
16:19.7,00:00:01.070,0,1,0.793,3,0.652,295.973,0.16,34.69117133,135.5171802, T 11,-0.797,0,0,0,0,0,0,0,-0.797,0.813,
16:19.7,00:00:01.130,0,1,0.832,3,0.706,295.937,0.154,34.69117133,135.5171802, T 11,-0.797,0,0,0,0,0,0,0,-0.797,0.813,
16:19.8,00:00:01.200,0,1,0.871,3,0.763,295.902,0.148,34.69117133,135.5171802, T 11,-0.797,0,0,0,0,0,0,0,-0.797,0.813,
16:19.9,00:00:01.270,0,1,1.072,4,0.828,295.821,0.166,34.69117183,135.5171775, T 10,1.799,0,0,0,0,0,0,0,1.799,1.173,
16:19.9,00:00:01.330,0,1,1.273,4,0.906,295.739,0.185,34.69117183,135.5171775, T 10,1.799,0,0,0,0,0,0,0,1.799,1.173,
16:20.0,00:00:01.400,0,1,1.474,4,0.998,295.658,0.203,34.69117183,135.5171775, T 10,1.799,0,0,0,0,0,0,0,1.799,1.173,
16:20.1,00:00:01.470,0,1,1.602,5,1.1,295.536,0.21,34.691172,135.5171735, T 10,2.468,0,0,0,0,0,0,0,2.468,1.666,
16:20.1,00:00:01.530,0,1,1.73,5,1.211,295.414,0.216,34.691172,135.5171735, T 10,2.468,0,0,0,0,0,0,0,2.468,1.666,
16:20.2,00:00:01.600,0,1,1.859,5,1.331,295.292,0.222,34.691172,135.5171735, T 10,2.468,0,0,0,0,0,0,0,2.468,1.666,
16:20.3,00:00:01.670,0,1,1.736,4,1.451,295.206,0.216,34.69117183,135.5171707, T 10,0.041,0,0,0,0,0,0,0,0.041,1.675,
16:20.3,00:00:01.730,0,1,1.613,4,1.562,295.12,0.21,34.69117183,135.5171707, T 10,0.041,0,0,0,0,0,0,0,0.041,1.675,
16:20.4,00:00:01.800,0,1,1.49,4,1.666,295.033,0.203,34.69117183,135.5171707, T 10,0.041,0,0,0,0,0,0,0,0.041,1.675,
16:20.5,00:00:01.870,0,1,1.518,4,1.766,294.922,0.203,34.69117183,135.517167, T 10,-0.713,0,0,0,0,0,0,0,-0.713,1.532,
16:20.5,00:00:01.930,0,1,1.546,4,1.868,294.81,0.203,34.69117183,135.517167, T 10,-0.713,0,0,0,0,0,0,0,-0.713,1.532,
16:20.6,00:00:02.000,0,1,1.574,4,1.972,294.698,0.203,34.69117183,135.517167, T 10,-0.713,0,0,0,0,0,0,0,-0.713,1.532,
16:20.7,00:00:02.070,0,1,1.784,5,2.084,294.541,0.203,34.69117183,135.5171618, T 10,1.788,0,0,0,0,0,0,0,1.788,1.89,
16:20.7,00:00:02.130,0,1,1.995,5,2.21,294.383,0.203,34.69117183,135.5171618, T 10,1.788,0,0,0,0,0,0,0,1.788,1.89,
16:20.8,00:00:02.200,0,1,2.205,5,2.35,294.226,0.203,34.69117183,135.5171618, T 10,1.788,0,0,0,0,0,0,0,1.788,1.89,
16:20.9,00:00:02.270,0,1,2.235,6,2.498,294.078,0.21,34.691172,135.517157, T 10,1.799,0,0,0,0,0,0,0,1.799,2.249,
16:20.9,00:00:02.330,0,1,2.264,6,2.648,293.931,0.216,34.691172,135.517157, T 10,1.799,0,0,0,0,0,0,0,1.799,2.249,
16:21.0,00:00:02.400,0,1,2.293,6,2.8,293.784,0.222,34.691172,135.517157, T 10,1.799,0,0,0,0,0,0,0,1.799,2.249,
16:21.1,00:00:02.470,0,1,2.186,5,2.949,293.662,0.222,34.691172,135.517153, T 10,-0.583,0,0,0,0,0,0,0,-0.583,2.133,
16:21.1,00:00:02.530,0,1,2.079,5,3.092,293.54,0.222,34.691172,135.517153, T 10,-0.583,0,0,0,0,0,0,0,-0.583,2.133,
16:21.2,00:00:02.600,0,1,1.972,5,3.227,293.418,0.222,34.691172,135.517153, T 10,-0.583,0,0,0,0,0,0,0,-0.583,2.133,
16:21.3,00:00:02.670,0,1,1.98,5,3.358,293.301,0.271,34.69117333,135.5171492, T 10,-0.742,0,0,0,0,0,0,0,-0.742,1.984,
16:21.3,00:00:02.730,0,1,1.988,5,3.491,293.185,0.32,34.69117333,135.5171492, T 10,-0.742,0,0,0,0,0,0,0,-0.742,1.984,
16:21.4,00:00:02.800,0,1,1.997,5,3.623,293.068,0.37,34.69117333,135.5171492, T 10,-0.742,0,0,0,0,0,0,0,-0.742,1.984,
16:21.5,00:00:02.870,0,1,2.252,6,3.765,292.895,0.382,34.69117367,135.5171435, T 10,1.977,0,0,0,0,0,0,0,1.977,2.38,
16:21.5,00:00:02.930,0,1,2.508,6,3.924,292.722,0.394,34.69117367,135.5171435, T 10,1.977,0,0,0,0,0,0,0,1.977,2.38,
16:21.6,00:00:03.000,0,1,2.763,6,4.099,292.55,0.407,34.69117367,135.5171435, T 10,1.977,0,0,0,0,0,0,0,1.977,2.38,
16:21.7,00:00:03.070,0,1,2.738,6,4.283,292.377,0.394,34.69117333,135.5171378, T 10,1.73,0,0,0,0,0,0,0,1.73,2.726,
16:21.7,00:00:03.130,0,1,2.713,6,4.465,292.204,0.382,34.69117333,135.5171378, T 10,1.73,0,0,0,0,0,0,0,1.73,2.726,
16:21.8,00:00:03.200,0,1,2.688,6,4.645,292.032,0.37,34.69117333,135.5171378, T 10,1.73,0,0,0,0,0,0,0,1.73,2.726,
16:21.9,00:00:03.270,0,1,2.532,5,4.819,291.884,0.351,34.69117283,135.517133, T 10,-1.362,0,0,0,0,0,0,0,-1.362,2.453,
16:21.9,00:00:03.330,0,1,2.375,5,4.982,291.737,0.333,34.69117283,135.517133, T 10,-1.362,0,0,0,0,0,0,0,-1.362,2.453,
16:22.0,00:00:03.400,0,1,2.218,5,5.135,291.59,0.314,34.69117283,135.517133, T 10,-1.362,0,0,0,0,0,0,0,-1.362,2.453,
16:22.1,00:00:03.470,0,1,2.402,6,5.289,291.407,0.32,34.691173,135.517127, T 10,0.204,0,0,0,0,0,0,0,0.204,2.494,
16:22.1,00:00:03.530,0,1,2.586,6,5.456,291.224,0.327,34.691173,135.517127, T 10,0.204,0,0,0,0,0,0,0,0.204,2.494,
16:22.2,00:00:03.600,0,1,2.77,6,5.634,291.041,0.333,34.691173,135.517127, T 10,0.204,0,0,0,0,0,0,0,0.204,2.494,
16:22.3,00:00:03.670,0,1,2.879,0,5.822,290.838,0.327,34.69117283,135.5171203, T 10,2.194,0,0,0,0,0,0,0,2.194,2.933,
16:22.3,00:00:03.730,0,1,2.987,0,6.018,290.635,0.32,34.69117283,135.5171203, T 10,2.194,0,0,0,0,0,0,0,2.194,2.933,
16:22.4,00:00:03.800,0,1,3.096,0,6.221,290.432,0.314,34.69117283,135.5171203, T 10,2.194,0,0,0,0,0,0,0,2.194,2.933,
16:22.5,00:00:03.870,0,1,2.959,6,6.423,290.254,0.302,34.6911725,135.5171145, T 10,-0.215,0,0,0,0,0,0,0,-0.215,2.89,
16:22.5,00:00:03.930,0,1,2.822,6,6.615,290.076,0.29,34.6911725,135.5171145, T 10,-0.215,0,0,0,0,0,0,0,-0.215,2.89,
16:22.6,00:00:04.000,0,1,2.684,6,6.799,289.898,0.277,34.6911725,135.5171145, T 10,-0.215,0,0,0,0,0,0,0,-0.215,2.89,
16:22.7,00:00:04.070,0,1,2.642,6,6.976,289.736,0.265,34.69117217,135.5171092, T 10,-1.349,0,0,0,0,0,0,0,-1.349,2.62,
16:22.7,00:00:04.130,0,1,2.599,6,7.151,289.573,0.253,34.69117217,135.5171092, T 10,-1.349,0,0,0,0,0,0,0,-1.349,2.62,
16:22.8,00:00:04.200,0,1,2.556,6,7.323,289.411,0.24,34.69117217,135.5171092, T 10,-1.349,0,0,0,0,0,0,0,-1.349,2.62,
16:22.9,00:00:04.270,0,1,2.756,0,7.5,289.213,0.228,34.69117183,135.5171027, T 10,1.181,0,0,0,0,0,0,0,1.181,2.856,
16:22.9,00:00:04.330,0,1,2.957,0,7.69,289.015,0.216,34.69117183,135.5171027, T 10,1.181,0,0,0,0,0,0,0,1.181,2.856,
16:23.0,00:00:04.400,0,1,3.157,0,7.894,288.817,0.203,34.69117183,135.5171027, T 10,1.181,0,0,0,0,0,0,0,1.181,2.856,
16:23.1,00:00:04.470,0,1,3.077,6,8.102,288.634,0.191,34.6911715,135.5170967, T 11,0.907,0,0,0,0,0,0,0,0.907,3.038,
16:23.1,00:00:04.530,0,1,2.998,6,8.304,288.451,0.179,34.6911715,135.5170967, T 11,0.907,0,0,0,0,0,0,0,0.907,3.038,
16:23.2,00:00:04.600,0,1,2.919,6,8.502,288.268,0.166,34.6911715,135.5170967, T 11,0.907,0,0,0,0,0,0,0,0.907,3.038,
16:23.3,00:00:04.670,0,1,2.846,6,8.694,288.095,0.136,34.69117067,135.517091, T 11,-1.138,0,0,0,0,0,0,0,-1.138,2.81,
16:23.3,00:00:04.730,0,1,2.774,6,8.881,287.923,0.105,34.69117067,135.517091, T 11,-1.138,0,0,0,0,0,0,0,-1.138,2.81,
16:23.4,00:00:04.800,0,1,2.701,6,9.064,287.75,0.074,34.69117067,135.517091, T 11,-1.138,0,0,0,0,0,0,0,-1.138,2.81,
16:23.5,00:00:04.870,0,1,2.919,0,9.251,287.532,0.08,34.69117083,135.5170838, T 11,1.087,0,0,0,0,0,0,0,1.087,3.028,
16:23.5,00:00:04.930,0,1,3.136,0,9.453,287.313,0.086,34.69117083,135.5170838, T 11,1.087,0,0,0,0,0,0,0,1.087,3.028,
16:23.6,00:00:05.000,0,1,3.354,0,9.669,287.095,0.092,34.69117083,135.5170838, T 11,1.087,0,0,0,0,0,0,0,1.087,3.028,
16:23.7,00:00:05.070,0,1,3.427,0,9.895,286.866,0.099,34.691171,135.5170763, T 11,2.177,0,0,0,0,0,0,0,2.177,3.463,
16:23.7,00:00:05.130,0,1,3.499,0,10.126,286.638,0.105,34.691171,135.5170763, T 11,2.177,0,0,0,0,0,0,0,2.177,3.463,
16:23.8,00:00:05.200,0,1,3.572,0,10.362,286.409,0.111,34.691171,135.5170763, T 11,2.177,0,0,0,0,0,0,0,2.177,3.463,
16:23.9,00:00:05.270,0,1,3.419,0,10.595,286.206,0.136,34.69117167,135.5170697, T 10,-0.603,0,0,0,0,0,0,0,-0.603,3.342,
16:23.9,00:00:05.330,0,1,3.266,0,10.818,286.003,0.16,34.69117167,135.5170697, T 10,-0.603,0,0,0,0,0,0,0,-0.603,3.342,
16:24.0,00:00:05.400,0,1,3.112,0,11.03,285.8,0.185,34.69117167,135.5170697, T 10,-0.603,0,0,0,0,0,0,0,-0.603,3.342,
16:24.1,00:00:05.470,0,1,3.189,0,11.24,285.581,0.216,34.6911725,135.5170625, T 11,-0.579,0,0,0,0,0,0,0,-0.579,3.227,
16:24.1,00:00:05.530,0,1,3.265,0,11.455,285.363,0.247,34.6911725,135.5170625, T 11,-0.579,0,0,0,0,0,0,0,-0.579,3.227,
16:24.2,00:00:05.600,0,1,3.341,0,11.676,285.145,0.277,34.6911725,135.5170625, T 11,-0.579,0,0,0,0,0,0,0,-0.579,3.227,
16:24.3,00:00:05.670,0,1,3.531,0,11.905,284.901,0.314,34.6911735,135.5170545, T 11,1.995,0,0,0,0,0,0,0,1.995,3.626,
16:24.3,00:00:05.730,0,1,3.72,0,12.146,284.657,0.351,34.6911735,135.5170545, T 11,1.995,0,0,0,0,0,0,0,1.995,3.626,
16:24.4,00:00:05.800,0,1,3.91,0,12.401,284.413,0.388,34.6911735,135.5170545, T 11,1.995,0,0,0,0,0,0,0,1.995,3.626,
16:24.5,00:00:05.870,0,1,3.785,0,12.657,284.185,0.425,34.6911745,135.517047, T 11,0.487,0,0,0,0,0,0,0,0.487,3.723,
16:24.5,00:00:05.930,0,1,3.661,0,12.905,283.956,0.462,34.6911745,135.517047, T 11,0.487,0,0,0,0,0,0,0,0.487,3.723,
16:24.6,00:00:06.000,0,1,3.536,0,13.145,283.728,0.499,34.6911745,135.517047, T 11,0.487,0,0,0,0,0,0,0,0.487,3.723,
16:24.7,00:00:06.070,0,1,3.492,0,13.38,283.504,0.524,34.69117517,135.5170397, T 11,-1.263,0,0,0,0,0,0,0,-1.263,3.47,
16:24.7,00:00:06.130,0,1,3.449,0,13.611,283.281,0.549,34.69117517,135.5170397, T 11,-1.263,0,0,0,0,0,0,0,-1.263,3.47,
16:24.8,00:00:06.200,0,1,3.405,0,13.839,283.057,0.573,34.69117517,135.5170397, T 11,-1.263,0,0,0,0,0,0,0,-1.263,3.47,
16:24.9,00:00:06.270,0,1,3.583,0,14.072,282.803,0.579,34.69117533,135.5170313, T 11,1.011,0,0,0,0,0,0,0,1.011,3.673,
16:24.9,00:00:06.330,0,1,3.762,0,14.317,282.549,0.585,34.69117533,135.5170313, T 11,1.011,0,0,0,0,0,0,0,1.011,3.673,
16:25.0,00:00:06.400,0,1,3.94,0,14.574,282.295,0.592,34.69117533,135.5170313, T 11,1.011,0,0,0,0,0,0,0,1.011,3.673,
16:25.1,00:00:06.470,0,1,3.875,0,14.834,282.057,0.598,34.6911755,135.5170235, T 11,0.853,0,0,0,0,0,0,0,0.853,3.843,
16:25.1,00:00:06.530,0,1,3.811,0,15.091,281.818,0.604,34.6911755,135.5170235, T 11,0.853,0,0,0,0,0,0,0,0.853,3.843,
16:25.2,00:00:06.600,0,1,3.746,0,15.343,281.579,0.61,34.6911755,135.5170235, T 11,0.853,0,0,0,0,0,0,0,0.853,3.843,
16:25.3,00:00:06.670,0,1,3.648,0,15.589,281.351,0.61,34.6911755,135.517016, T 11,-1.224,0,0,0,0,0,0,0,-1.224,3.598,
16:25.3,00:00:06.730,0,1,3.549,0,15.829,281.122,0.61,34.6911755,135.517016, T 11,-1.224,0,0,0,0,0,0,0,-1.224,3.598,
16:25.4,00:00:06.800,0,1,3.45,0,16.062,280.893,0.61,34.6911755,135.517016, T 11,-1.224,0,0,0,0,0,0,0,-1.224,3.598,
16:25.5,00:00:06.870,0,1,3.66,0,16.299,280.624,0.622,34.69117583,135.5170072, T 11,0.832,0,0,0,0,0,0,0,0.832,3.765,
16:25.5,00:00:06.930,0,1,3.869,0,16.55,280.355,0.635,34.69117583,135.5170072, T 11,0.832,0,0,0,0,0,0,0,0.832,3.765,
16:25.6,00:00:07.000,0,1,4.079,0,16.815,280.086,0.647,34.69117583,135.5170072, T 11,0.832,0,0,0,0,0,0,0,0.832,3.765,
16:25.7,00:00:07.070,0,1,4.097,0,17.088,279.812,0.653,34.691176,135.5169982, T 11,1.703,0,0,0,0,0,0,0,1.703,4.105,
16:25.7,00:00:07.130,0,1,4.114,0,17.361,279.537,0.659,34.691176,135.5169982, T 11,1.703,0,0,0,0,0,0,0,1.703,4.105,
16:25.8,00:00:07.200,0,1,4.132,0,17.636,279.263,0.666,34.691176,135.5169982, T 11,1.703,0,0,0,0,0,0,0,1.703,4.105,
16:25.9,00:00:07.270,0,1,3.996,0,17.907,279.004,0.659,34.69117583,135.5169897, T 11,-0.886,0,0,0,0,0,0,0,-0.886,3.928,
16:25.9,00:00:07.330,0,1,3.86,0,18.169,278.745,0.653,34.69117583,135.5169897, T 11,-0.886,0,0,0,0,0,0,0,-0.886,3.928,
16:26.0,00:00:07.400,0,1,3.725,0,18.422,278.486,0.647,34.69117583,135.5169897, T 11,-0.886,0,0,0,0,0,0,0,-0.886,3.928,
16:26.1,00:00:07.470,0,1,3.798,0,18.673,278.222,0.659,34.69117617,135.516981, T 11,-0.468,0,0,0,0,0,0,0,-0.468,3.834,
16:26.1,00:00:07.530,0,1,3.871,0,18.928,277.958,0.672,34.69117617,135.516981, T 11,-0.468,0,0,0,0,0,0,0,-0.468,3.834,
16:26.2,00:00:07.600,0,1,3.944,0,19.189,277.694,0.684,34.69117617,135.516981, T 11,-0.468,0,0,0,0,0,0,0,-0.468,3.834,
16:26.3,00:00:07.670,0,1,4.083,0,19.456,277.409,0.703,34.69117667,135.5169717, T 11,1.587,0,0,0,0,0,0,0,1.587,4.152,
16:26.3,00:00:07.730,0,1,4.221,0,19.733,277.125,0.721,34.69117667,135.5169717, T 11,1.587,0,0,0,0,0,0,0,1.587,4.152,
16:26.4,00:00:07.800,0,1,4.359,0,20.019,276.84,0.74,34.69117667,135.5169717, T 11,1.587,0,0,0,0,0,0,0,1.587,4.152,
16:26.5,00:00:07.870,0,1,4.221,0,20.305,276.581,0.752,34.691177,135.5169632, T 11,-0.001,0,0,0,0,0,0,0,-0.001,4.152,
16:26.5,00:00:07.930,0,1,4.082,0,20.582,276.322,0.764,34.691177,135.5169632, T 11,-0.001,0,0,0,0,0,0,0,-0.001,4.152,
16:26.6,00:00:08.000,0,1,3.944,0,20.849,276.063,0.777,34.691177,135.5169632, T 11,-0.001,0,0,0,0,0,0,0,-0.001,4.152,
16:26.7,00:00:08.070,0,1,3.929,0,21.112,275.804,0.789,34.69117733,135.5169547, T 11,-1.148,0,0,0,0,0,0,0,-1.148,3.922,
16:26.7,00:00:08.130,0,1,3.915,0,21.373,275.545,0.801,34.69117733,135.5169547, T 11,-1.148,0,0,0,0,0,0,0,-1.148,3.922,
16:26.8,00:00:08.200,0,1,3.9,0,21.634,275.286,0.814,34.69117733,135.5169547, T 11,-1.148,0,0,0,0,0,0,0,-1.148,3.922,
16:26.9,00:00:08.270,0,1,4.105,0,21.901,274.987,0.838,34.691178,135.5169448, T 10,1.426,0,0,0,0,0,0,0,1.426,4.207,
16:26.9,00:00:08.330,0,1,4.31,0,22.181,274.687,0.863,34.691178,135.5169448, T 10,1.426,0,0,0,0,0,0,0,1.426,4.207,
16:27.0,00:00:08.400,0,1,4.514,0,22.475,274.387,0.887,34.691178,135.5169448, T 10,1.426,0,0,0,0,0,0,0,1.426,4.207,
16:27.1,00:00:08.470,0,1,4.414,0,22.773,274.108,0.906,34.6911785,135.5169357, T 10,0.785,0,0,0,0,0,0,0,0.785,4.364,
16:27.1,00:00:08.530,0,1,4.314,0,23.064,273.829,0.924,34.6911785,135.5169357, T 10,0.785,0,0,0,0,0,0,0,0.785,4.364,
16:27.2,00:00:08.600,0,1,4.214,0,23.348,273.549,0.943,34.6911785,135.5169357, T 10,0.785,0,0,0,0,0,0,0,0.785,4.364,
16:27.3,00:00:08.670,0,1,4.138,0,23.626,273.285,0.949,34.69117867,135.516927, T 10,-1.321,0,0,0,0,0,0,0,-1.321,4.1,
16:27.3,00:00:08.730,0,1,4.062,0,23.9,273.021,0.955,34.69117867,135.516927, T 10,-1.321,0,0,0,0,0,0,0,-1.321,4.1,
16:27.4,00:00:08.800,0,1,3.986,0,24.168,272.757,0.961,34.69117867,135.516927, T 10,-1.321,0,0,0,0,0,0,0,-1.321,4.1,
16:27.5,00:00:08.870,0,1,4.159,0,24.439,272.457,0.986,34.69117933,135.5169172, T 10,0.732,0,0,0,0,0,0,0,0.732,4.246,
16:27.5,00:00:08.930,0,1,4.333,0,24.723,272.158,1.011,34.69117933,135.5169172, T 10,0.732,0,0,0,0,0,0,0,0.732,4.246,
16:27.6,00:00:09.000,0,1,4.507,0,25.017,271.858,1.035,34.69117933,135.5169172, T 10,0.732,0,0,0,0,0,0,0,0.732,4.246,
16:27.7,00:00:09.070,0,1,4.513,0,25.318,271.558,1.079,34.6911805,135.5169073, T 10,1.352,0,0,0,0,0,0,0,1.352,4.517,
16:27.7,00:00:09.130,0,1,4.52,0,25.619,271.259,1.122,34.6911805,135.5169073, T 10,1.352,0,0,0,0,0,0,0,1.352,4.517,
16:27.8,00:00:09.200,0,1,4.527,0,25.921,270.959,1.165,34.6911805,135.5169073, T 10,1.352,0,0,0,0,0,0,0,1.352,4.517,
16:27.9,00:00:09.270,0,1,4.442,0,26.219,270.674,1.165,34.6911805,135.516898, T 10,-0.586,0,0,0,0,0,0,0,-0.586,4.399,
16:27.9,00:00:09.330,0,1,4.357,0,26.513,270.39,1.165,34.6911805,135.516898, T 10,-0.586,0,0,0,0,0,0,0,-0.586,4.399,
16:28.0,00:00:09.400,0,1,4.272,0,26.8,270.106,1.165,34.6911805,135.516898, T 10,-0.586,0,0,0,0,0,0,0,-0.586,4.399,
16:28.1,00:00:09.470,0,1,4.282,0,27.086,269.811,1.134,34.69117967,135.5168883, T 10,-0.565,0,0,0,0,0,0,0,-0.565,4.286,
16:28.1,00:00:09.530,0,1,4.291,0,27.371,269.516,1.103,34.69117967,135.5168883, T 10,-0.565,0,0,0,0,0,0,0,-0.565,4.286,
16:28.2,00:00:09.600,0,1,4.301,0,27.658,269.222,1.072,34.69117967,135.5168883, T 10,-0.565,0,0,0,0,0,0,0,-0.565,4.286,
16:28.3,00:00:09.670,0,1,4.447,0,27.949,268.907,1.06,34.69117933,135.516878, T 10,1.167,0,0,0,0,0,0,0,1.167,4.52,
16:28.3,00:00:09.730,0,1,4.593,0,28.251,268.592,1.048,34.69117933,135.516878, T 10,1.167,0,0,0,0,0,0,0,1.167,4.52,
16:28.4,00:00:09.800,0,1,4.739,0,28.562,268.277,1.035,34.69117933,135.516878, T 10,1.167,0,0,0,0,0,0,0,1.167,4.52,
16:28.5,00:00:09.870,0,1,4.597,0,28.873,267.988,1.005,34.6911785,135.5168685, T 10,0.036,0,0,0,0,0,0,0,0.036,4.527,
16:28.5,00:00:09.930,0,1,4.456,0,29.175,267.698,0.974,34.6911785,135.5168685, T 10,0.036,0,0,0,0,0,0,0,0.036,4.527,
16:28.6,00:00:10.000,0,1,4.315,0,29.467,267.409,0.943,34.6911785,135.5168685, T 10,0.036,0,0,0,0,0,0,0,0.036,4.527,
16:28.7,00:00:10.070,0,1,4.242,0,29.752,267.129,0.974,34.69117933,135.5168593, T 10,-1.61,0,0,0,0,0,0,0,-1.61,4.205,
16:28.7,00:00:10.130,0,1,4.168,0,30.033,266.85,1.005,34.69117933,135.5168593, T 10,-1.61,0,0,0,0,0,0,0,-1.61,4.205,
16:28.8,00:00:10.200,0,1,4.094,0,30.308,266.571,1.035,34.69117933,135.5168593, T 10,-1.61,0,0,0,0,0,0,0,-1.61,4.205,
16:28.9,00:00:10.270,0,1,4.338,0,30.589,266.251,1.035,34.69117933,135.5168488, T 10,1.277,0,0,0,0,0,0,0,1.277,4.46,
16:28.9,00:00:10.330,0,1,4.582,0,30.886,265.931,1.035,34.69117933,135.5168488, T 10,1.277,0,0,0,0,0,0,0,1.277,4.46,
16:29.0,00:00:10.400,0,1,4.826,0,31.2,265.611,1.035,34.69117933,135.5168488, T 10,1.277,0,0,0,0,0,0,0,1.277,4.46,
16:29.1,00:00:10.470,0,1,4.734,0,31.519,265.301,1.048,34.69117967,135.5168387, T 10,1.142,0,0,0,0,0,0,0,1.142,4.689,
16:29.1,00:00:10.530,0,1,4.643,0,31.831,264.991,1.06,34.69117967,135.5168387, T 10,1.142,0,0,0,0,0,0,0,1.142,4.689,
16:29.2,00:00:10.600,0,1,4.551,0,32.138,264.681,1.072,34.69117967,135.5168387, T 10,1.142,0,0,0,0,0,0,0,1.142,4.689,
16:29.3,00:00:10.670,0,1,4.423,0,32.437,264.397,1.054,34.69117917,135.5168293, T 10,-1.651,0,0,0,0,0,0,0,-1.651,4.358,
16:29.3,00:00:10.730,0,1,4.294,0,32.727,264.112,1.035,34.69117917,135.5168293, T 10,-1.651,0,0,0,0,0,0,0,-1.651,4.358,
16:29.4,00:00:10.800,0,1,4.165,0,33.009,263.828,1.017,34.69117917,135.5168293, T 10,-1.651,0,0,0,0,0,0,0,-1.651,4.358,
16:29.5,00:00:10.870,0,1,4.321,0,33.292,263.518,1.005,34.69117883,135.5168192, T 10,0.204,0,0,0,0,0,0,0,0.204,4.399,
16:29.5,00:00:10.930,0,1,4.477,0,33.586,263.208,0.992,34.69117883,135.5168192, T 10,0.204,0,0,0,0,0,0,0,0.204,4.399,
16:29.6,00:00:11.000,0,1,4.633,0,33.889,262.899,0.98,34.69117883,135.5168192, T 10,0.204,0,0,0,0,0,0,0,0.204,4.399,
16:29.7,00:00:11.070,0,1,4.744,0,34.202,262.574,0.986,34.691179,135.5168085, T 10,1.999,0,0,0,0,0,0,0,1.999,4.799,
16:29.7,00:00:11.130,0,1,4.854,0,34.522,262.248,0.992,34.691179,135.5168085, T 10,1.999,0,0,0,0,0,0,0,1.999,4.799,
16:29.8,00:00:11.200,0,1,4.965,0,34.849,261.923,0.998,34.691179,135.5168085, T 10,1.999,0,0,0,0,0,0,0,1.999,4.799,
16:29.9,00:00:11.270,0,1,4.742,0,35.173,261.624,0.986,34.69117867,135.5167987, T 10,-0.841,0,0,0,0,0,0,0,-0.841,4.631,
16:29.9,00:00:11.330,0,1,4.519,0,35.481,261.324,0.974,34.69117867,135.5167987, T 10,-0.841,0,0,0,0,0,0,0,-0.841,4.631,
16:30.0,00:00:11.400,0,1,4.297,0,35.775,261.024,0.961,34.69117867,135.5167987, T 10,-0.841,0,0,0,0,0,0,0,-0.841,4.631,
